,eclat_time,eclat_memory,declat_time,declat_memory
0,0.7854914665222168,1.8390159606933594,100.46588063240051,48.571539878845215
1,0.7899398803710938,1.833724021911621,100.25357246398926,48.568925857543945
2,0.7787089347839355,1.8328008651733398,99.48708653450012,48.56898212432861
3,0.7827126979827881,1.8335990905761719,99.98038363456726,48.568925857543945
4,0.7727031707763672,1.8326778411865234,99.41098070144653,48.568925857543945
5,0.7927205562591553,1.8327999114990234,99.97997212409973,48.568925857543945
6,0.7927217483520508,1.8342056274414062,99.6290910243988,48.568925857543945
7,0.7767069339752197,1.849461555480957,98.61273193359375,48.568925857543945
8,0.7811691761016846,1.8334379196166992,101.14791369438171,48.568925857543945
9,0.7767415046691895,1.8326778411865234,99.34625792503357,48.568925857543945
mean,0.7829616069793701,1.8354400634765624,99.83138706684113,48.56919288635254
std_dev,0.006708204267216589,0.005004509818902039,0.664456253428548,0.0007825106688319175
